protocol,model,objective,rec_metric,alpha,rec_value,explainability
legacy_four_model,UCPR,SEP,ndcg,0.25,0.2525,0.7187
legacy_four_model,UCPR,SEP,ndcg,0.3,0.249,0.7244
legacy_four_model,UCPR,SEP,ndcg,0.35,0.2484,0.7286
legacy_four_model,UCPR,SEP,ndcg,0.4,0.2475,0.7317
legacy_four_model,UCPR,SEP,ndcg,0.45,0.2457,0.7339
legacy_four_model,UCPR,SEP,ndcg,0.5,0.2445,0.7358
legacy_four_model,UCPR,SEP,ndcg,0.55,0.2435,0.737
legacy_four_model,UCPR,SEP,ndcg,0.6,0.2409,0.738
legacy_four_model,UCPR,SEP,ndcg,0.65,0.2414,0.7389
legacy_four_model,UCPR,SEP,ndcg,0.7,0.2414,0.7395
legacy_four_model,UCPR,SEP,ndcg,0.75,0.2399,0.7399
legacy_four_model,UCPR,SEP,ndcg,0.8,0.2391,0.7402
legacy_four_model,UCPR,SEP,ndcg,0.85,0.239,0.7404
legacy_four_model,UCPR,SEP,ndcg,0.9,0.238,0.7405
legacy_four_model,UCPR,SEP,ndcg,0.95,0.2383,0.7406
legacy_four_model,UCPR,SEP,ndcg,1.0,0.2385,0.7406
legacy_four_model,CAFE,SEP,ndcg,0.0,0.3229,0.4619
legacy_four_model,CAFE,SEP,ndcg,0.05,0.3199,0.7011
legacy_four_model,CAFE,SEP,ndcg,0.1,0.3046,0.8111
legacy_four_model,CAFE,SEP,ndcg,0.15,0.2854,0.8748
legacy_four_model,CAFE,SEP,ndcg,0.2,0.2707,0.9132
legacy_four_model,CAFE,SEP,ndcg,0.25,0.2548,0.9366
legacy_four_model,CAFE,SEP,ndcg,0.3,0.2457,0.9494
legacy_four_model,CAFE,SEP,ndcg,0.35,0.2403,0.9571
legacy_four_model,CAFE,SEP,ndcg,0.4,0.2328,0.9621
legacy_four_model,CAFE,SEP,ndcg,0.45,0.2258,0.9656
legacy_four_model,CAFE,SEP,ndcg,0.5,0.2209,0.9681
legacy_four_model,CAFE,SEP,ndcg,0.55,0.2147,0.9703
legacy_four_model,CAFE,SEP,ndcg,0.6,0.2092,0.9721
legacy_four_model,CAFE,SEP,ndcg,0.65,0.2045,0.9735
legacy_four_model,CAFE,SEP,ndcg,0.7,0.1995,0.9748
legacy_four_model,CAFE,SEP,ndcg,0.75,0.1956,0.9759
legacy_four_model,CAFE,SEP,ndcg,0.8,0.1885,0.9769
legacy_four_model,CAFE,SEP,ndcg,0.85,0.1828,0.9779
legacy_four_model,CAFE,SEP,ndcg,0.9,0.1759,0.9786
legacy_four_model,CAFE,SEP,ndcg,0.95,0.1712,0.979
legacy_four_model,CAFE,SEP,ndcg,1.0,0.1659,0.9791
legacy_four_model,TPRec,SEP,ndcg,0.0,0.2631,0.4948
